year,us_equity,bonds,alternatives,cash
2007,0.051739,0.065465,0.056707,0.044810
2008,-0.369712,0.079370,-0.326487,0.013969
2009,0.266954,0.031202,0.271322,0.001509
2010,0.150704,0.061331,0.201871,0.001384
2011,0.017853,0.080066,0.031716,0.000528
2012,0.159039,0.034990,0.106991,0.000876
2013,0.325267,-0.015690,-0.023467,0.000571
2014,0.134536,0.057812,-0.024911,0.000327
2015,0.011908,0.005264,-0.127115,0.000525
2016,0.120043,0.025427,0.140392,0.003194
2017,0.218002,0.037343,0.049873,0.009490
2018,-0.046381,0.001470,-0.089894,0.019717
2019,0.313444,0.085099,0.201526,0.021058
2020,0.184087,0.075925,-0.051515,0.003603
2021,0.288249,-0.017302,0.414680,0.000449
2022,-0.182632,-0.132072,-0.055896,0.020854
2023,0.262433,0.055340,0.012044,0.052788
2024,0.249722,0.012425,0.039632,0.051813
2025,0.177673,0.071710,0.068913,0.042069
